x_km,y_km,elevation_m,slope_m_km
0.0,0.0,341.76218197713706,14.453803718039769
0.12,0.0,347.9956786642165,11.558908760439428
0.24,0.0,359.6620298713105,10.133072856412957
0.36,0.0,381.6940981211181,17.38926457938927
0.48,0.0,380.757628990379,31.754898787011765
0.6,0.0,421.5191179332769,21.06226216447434
0.72,0.0,410.2735647796551,25.698098189502446
0.84,0.0,420.17534832638637,12.503663240677232
0.96,0.0,436.19678791230257,14.378229174770684
1.08,0.0,446.7741454305609,6.803744448327955
1.2,0.0,459.4876140811801,12.620773061673038
1.32,0.0,439.55565949025186,11.544100081159394
1.44,0.0,464.1749175143372,15.548819263220619
1.56,0.0,455.070385023368,11.75371723946601
1.68,0.0,454.3999745441219,8.879829693884178
1.8,0.0,458.42034697670505,11.89497834574488
1.92,0.0,471.892365595396,18.636491040992507
2.04,0.0,464.5168624347091,10.878106237568357
2.16,0.0,456.87461769001226,1.479871246273943
2.28,0.0,454.4410017478534,12.732653819088675
2.4,0.0,446.5840459859089,19.410753781987456
2.52,0.0,435.1659866466816,2.3757814757295734
2.64,0.0,433.4552788985132,15.927339421357257
2.76,0.0,426.6379421406851,36.359383956949955
2.88,0.0,433.34578794253156,12.665641944754485
3.0,0.0,409.6074897274676,34.75697150051657
3.12,0.0,420.1541571453941,6.115570234114156
3.24,0.0,421.8870954623771,15.581216021401847
3.36,0.0,417.4238058932574,18.805999245285022
3.48,0.0,415.04119027748226,9.069598102696503
3.6,0.0,424.1259938204701,14.43311693632838
3.72,0.0,422.53482182907055,23.71540452208921
3.84,0.0,418.7865175776936,8.439562398197383
3.96,0.0,408.4167965395816,5.305956255934648
4.08,0.0,415.4613608632112,21.726632393726266
4.2,0.0,431.78586953523177,18.17531696684416
4.32,0.0,437.8453456293978,6.228692956231818
4.44,0.0,447.2685240903732,11.882057978415846
4.56,0.0,440.65001575231986,11.57786363911097
4.68,0.0,477.13216181976816,21.050576989410537
4.8,0.0,452.624223190267,2.7211953043295716
4.92,0.0,482.5947862052254,10.150765997352122
5.04,0.0,476.6870642828696,13.753902984377902
5.16,0.0,486.18158953924683,8.451979544296911
5.28,0.0,494.3340832088171,5.422549950743559
5.4,0.0,507.7982847082909,19.936796123414847
5.52,0.0,503.8267015762875,13.685569645722904
5.64,0.0,501.463695238856,7.297323626411225
5.76,0.0,517.1644223199628,15.092628412420972
5.88,0.0,507.0884550925471,3.5852334361204035
