x_km,y_km,feasibility_score,zone_class,building_height_m
0.0,0.0,0.40329512345539176,none,2.5025022762290635e-06
0.24,0.0,0.39613517840872015,none,6.4285037599450255e-06
0.48,0.0,0.3876969334339136,none,9.979956537460776e-06
0.72,0.0,0.3758905459685763,none,1.8746374454322394e-05
0.96,0.0,0.3655212309047575,none,3.595354760719007e-05
1.2,0.0,0.3562048977117318,none,3.777053077535466e-05
1.44,0.0,0.35432990596711555,none,8.468476637179453e-05
1.68,0.0,0.3582398790931488,none,8.739280161728292e-05
1.92,0.0,0.35124281636245525,none,0.0001582662575904034
2.16,0.0,0.48728201646449304,none,0.00021659401088290907
2.4,0.0,0.36136612288631736,none,0.0001724795460521735
2.64,0.0,0.3666175280265263,none,0.00024027604560928118
2.88,0.0,0.3666610706357979,none,0.00040945812631334403
3.12,0.0,0.37193761749640775,none,0.00047976362310475147
3.36,0.0,0.3730295361055545,none,0.0006276914283380387
3.6,0.0,0.3703486035055976,none,0.000665977476188579
3.84,0.0,0.3724846131849344,none,0.0005198559921072931
4.08,0.0,0.3738146218808473,none,0.0005558492455013773
4.32,0.0,0.3648608439555548,none,0.0006785284573828092
4.56,0.0,0.3637394325982956,none,0.00037406718430318356
4.8,0.0,0.3589495345540469,none,0.000517446564228533
5.04,0.0,0.34932472994381486,none,0.0002962286915424024
5.28,0.0,0.34226570232446374,none,0.0004429280062626975
5.52,0.0,0.33846898969434586,none,0.00021978342608996304
5.76,0.0,0.33313380847777346,none,0.0002817294942601769
6.0,0.0,0.33107004556899156,none,0.00017193014474777777
6.24,0.0,0.3311289300995932,none,0.00012491027589625183
6.48,0.0,0.3400213018144871,none,8.304384960985306e-05
6.72,0.0,0.34382503876972315,none,6.255372483787324e-05
6.96,0.0,0.3484907060090519,none,2.1754891272657855e-05
7.2,0.0,0.3607239825120232,none,2.061892104977589e-05
7.44,0.0,0.358333798761442,none,1.1282183897179795e-05
7.68,0.0,0.37005041517576603,none,5.511837007224103e-06
7.92,0.0,0.3859606713094437,none,4.188376663569253e-06
8.16,0.0,0.3874528052006535,none,1.865240213534432e-06
8.4,0.0,0.39859118341968286,none,9.134162632693821e-07
8.64,0.0,0.40224102988058547,none,5.38854659836111e-07
8.88,0.0,0.40168149927222696,none,2.6623926610538225e-07
9.12,0.0,0.40594851176814284,none,1.0984504624953355e-07
9.36,0.0,0.4001601209761595,none,4.8343242731672204e-08
9.6,0.0,0.39985475028063866,none,2.034452298837391e-08
9.84,0.0,0.5985096487884072,none,5.769706741110816e-09
10.08,0.0,0.39372186238286716,none,2.4766576662914046e-09
10.32,0.0,0.3865560127920583,none,7.151046281549575e-10
10.56,0.0,0.37548135753715994,none,3.294982641846664e-10
10.8,0.0,0.3730321227143317,none,1.4501175404689454e-10
11.04,0.0,0.3723984648185071,none,4.715647309084846e-11
11.28,0.0,0.3680007712603726,none,1.4661824335904583e-11
11.52,0.0,0.37630205003642736,none,4.509122823732972e-12
11.76,0.0,0.3813678004332161,none,1.0096942959406315e-12
12.0,0.0,0.3864787304065078,none,3.439598090020613e-13
12.24,0.0,0.3834590476175324,none,1.0133629099474527e-13
12.48,0.0,0.3821164000207776,none,3.031353013243861e-14
12.72,0.0,0.39120077234200185,none,1.0049472350213467e-14
12.96,0.0,0.39952547521317683,none,4.027985862331298e-15
13.2,0.0,0.39937211420751306,none,2.999592157538926e-15
13.44,0.0,0.4045017222801687,none,1.7669776321062774e-15
13.68,0.0,0.40162474329884684,none,9.468233890634754e-16
13.92,0.0,0.39843714354356324,none,4.0949088158266926e-16
14.16,0.0,0.3994924845857988,none,3.368213101399375e-16
14.4,0.0,0.3859842770769507,none,1.555480914687247e-16
14.64,0.0,0.3690776068189434,none,5.479119700527924e-17
14.88,0.0,0.3719200473966228,none,4.183422677600766e-17
15.12,0.0,0.3603181343171813,none,2.0652803589735556e-17
15.36,0.0,0.34896709741875775,none,1.0807260775917262e-17
15.6,0.0,0.34698803194644057,none,4.07959346426427e-18
15.84,0.0,0.33124974616975816,none,1.2452232110307017e-18
16.08,0.0,0.3313325809311589,none,7.672147986527553e-19
16.32,0.0,0.33584571034499744,none,3.017238827858683e-19
16.56,0.0,0.3187271616971721,none,8.3097741643714e-20
16.8,0.0,0.32431314824934243,none,5.433827772084555e-20
17.04,0.0,0.33759016313124524,none,1.7068388853531165e-20
17.28,0.0,0.33286548206201605,none,4.882735176576951e-21
17.52,0.0,0.3388477703114749,none,2.0479427337208868e-21
17.76,0.0,0.34351502702725145,none,6.03164719208883e-22
18.0,0.0,0.3479581056556984,none,2.05429130716997e-22
18.24,0.0,0.3643586351281884,none,4.979635614139306e-23
18.48,0.0,0.35934791411000516,none,1.2014707569015187e-23
18.72,0.0,0.3546129667058416,none,2.638518208406942e-24
18.96,0.0,0.36292170647350697,none,8.517206411163267e-25
19.2,0.0,0.36245870785234025,none,2.7384792990979986e-25
19.44,0.0,0.35934127948430583,none,6.61087508837388e-26
19.68,0.0,0.3546145308927249,none,1.1884794571559811e-26
19.92,0.0,0.35385025531704906,none,2.6149588039714978e-27
20.16,0.0,0.3482164829756278,none,5.040010423264848e-28
20.4,0.0,0.34014357774703585,none,1.389522745121115e-28
20.64,0.0,0.33824104178413567,none,3.141311863193745e-29
20.88,0.0,0.3397844153163943,none,5.259673834938207e-30
21.12,0.0,0.35021770711092925,none,8.726735224445945e-31
21.36,0.0,0.3497128228040708,none,2.3338243970638926e-31
21.6,0.0,0.3521426798500348,none,2.4348452903804134e-32
21.84,0.0,0.3643130975795493,none,5.53834508106561e-33
22.08,0.0,0.37062969336336277,none,9.707285674881338e-34
22.32,0.0,0.3804868989753574,none,1.738007262594606e-34
22.56,0.0,0.3988320976983061,none,2.418768740703107e-35
22.8,0.0,0.4084079296966775,none,3.021350870736167e-36
23.04,0.0,0.4192507522017679,none,4.157184375112017e-37
23.28,0.0,0.4289593013651598,none,6.417246315509369e-38
23.52,0.0,0.43054735019738655,none,5.913481447244193e-39
23.76,0.0,0.4371997364404594,none,7.883057372255732e-40
24.0,0.0,0.43728523631097116,none,9.603182629674108e-41
24.24,0.0,0.43680911580657167,none,7.869047023834857e-42
24.48,0.0,0.4403749201431013,none,1.2252783730044545e-42
24.72,0.0,0.44118371976549686,none,9.176674098307167e-44
