x_km,y_km,risk_score,feasibility_score,energy_cost,altitude_constraint_m
0.0,0.0,0.401163763067582,0.45807540243584494,0.39925993214775946,391.76218197713706
0.24,0.0,0.3844200805483918,0.46427208784127005,0.3719712116547149,409.6620298713105
0.48,0.0,0.49421055371146316,0.3750658486975728,0.5136756572456478,430.757628990379
0.72,0.0,0.468650049661428,0.38461014886587563,0.475432644913486,460.2735647796551
0.96,0.0,0.4172023440102014,0.4127850469827631,0.40281617001886255,486.19678791230257
1.2,0.0,0.4122636094586127,0.41141547337897105,0.39237440381070376,509.4876140811801
1.44,0.0,0.4300084050879752,0.3989941164384173,0.4118772626863783,514.1749175143373
1.68,0.0,0.4006767274863783,0.4195262907595352,0.3684627807045573,504.3999745441219
1.92,0.0,0.45135207888687523,0.3840535447791873,0.43279938679014796,521.892365595396
2.16,0.0,0.3703703484082136,0.44074075611425045,0.3209402990531925,506.87461769001226
2.4,0.0,0.4605259503854826,0.3787375258573294,0.4376518876364206,496.5840459859089
2.64,0.0,0.4458715813566003,0.3933906331348975,0.4148562291220655,483.4552788985132
2.88,0.0,0.43206958920028365,0.40322634765700766,0.39388737748213676,483.34578794253156
3.12,0.0,0.40197421003935885,0.4293272032225489,0.351110281876064,470.1541571453941
3.36,0.0,0.4656096480954894,0.38451828863260445,0.4339022515813876,467.4238058932574
3.6,0.0,0.4456733257121057,0.39663426307912797,0.40587869927033776,474.1259938204701
3.84,0.0,0.41758249863855323,0.4185998180177262,0.36693353993351013,468.7865175776936
4.08,0.0,0.48341435608665967,0.3723152498223593,0.4535636090515106,465.4613608632112
4.32,0.0,0.40842559426537745,0.4184163134759551,0.3535508678175877,487.8453456293978
4.56,0.0,0.4350090838602224,0.3986632349974379,0.38866356276391595,490.65001575231986
4.8,0.0,0.3919748655521375,0.4256175941135037,0.3315532183852051,502.624223190267
5.04,0.0,0.44583749414483415,0.38791375409861606,0.40428099580152915,526.6870642828696
5.28,0.0,0.40489365732823374,0.41657443987023635,0.3507354886592545,544.3340832088171
